reviewerName,reviewText,isLocalGuide,reviews,photos,rating,timeReviewed,likes,responseTime,responseText
Renzo Gagliardi,"Shawn S. was the best at trying to find the best car and deal for us! He even invited us to lunch because we lost track of time looking at cars and test driving! Overall, everyone at Ken Garff is always pursuing their best to provide the best customer service! Great experience and 100% recommended! In the end we got the car we fell in love with and they (specially the sales Manager) did everything to help us find the best loan and APR for us. Thank you for helping us buy our very 1st NEW car.",FALSE,3,0,5,a week ago,0,2 days ago,Thank you for taking the time to review us! We really appreciate your kind comments and will make sure that Shawn sees this. Congratulations on your new car! 
Alyssa Johnson,"I experienced nothing short of incredible service here!! My salesman was McKay and he was incredibly patient with my endless test driving and was diligent in finding me a car that I loved. Andy in the financial department did an amazing job of finding me a loan with the lowest interest rate possible. Several days after purchasing the car, McKay called me to make sure I was completely satisfied with my purchase. I would recommend this dealership to anyone and am extremely thankful for their help!",FALSE,2,0,5,a month ago,0,a month ago,Thank you for the glowing review Alyssa! We are glad you enjoyed working with us. Congratulations on  your new car! 
John Gordon,"From the test drive to driving away with a paid-for car, it was about a four hour commitment over a 2-day period.  Pretty pain free.  We were treated respectfully even though we opted out of all the high-profit margin add-ons.  I would recommend Garff Honda as a good place to do business.",FALSE,1,0,5,a week ago,0,a week ago,"Thank you for taking the time to review us, we appreciate it. Congratulations on your new car! "
Michael Duggan,"Dominick was the nicest guy. Friendly,  Patient with us and not pushy.  BEST EXPERIENCE my wife and I have ever had buying a car. The entire staff was great!!! Got a car that fit our needs perfectly.  We will definitely go back for our next car.  We LOVE our Honda CR-V!!!",FALSE,1,0,5,2 months ago,0,2 months ago,Thank you for this glowing review Michael! We will definitely pass along your message to Dominick. Congratulations on your CR-V! 
Kurt Jensen,I've bought parts here for years and never had a problem. the service is fast and friendly. I always sent my wife to parts places for me to see how they treat her first  If they treat her like she is ignorant then they lose my business forever. I am willing to pay a little extra to get great service.,FALSE,3,0,5,2 weeks ago,0,2 weeks ago,We are so happy to hear that you are willing to work with us. We love our part's employees and we hope that you will continue to do business with us. 
Kathy Johnson,"We had such a great experience with our sales person (Mark W). He was very knowledgeable, professional and not pushy. He helped us quickly get exactly what we needed right in our budget.",FALSE,6,5,5,2 days ago,0,a day ago,Thank you for the review! We will make sure Mark sees your comments. Congratulations on your car! 
Jesse Riley,"Hondaâs response is a total cop out and a lie, no one ever looked into it and reached out to me.  See review below.DO NOT BUY HONDA!  We will never buy another Honda again.  We had an Odyssey for 6 years were so that we loved and my wife had decided she would be a lifelong Honda owner.  Bought 2016 Pilot  and loved all of the upgrades and what a great car it was.  Started having issues with it a couple of months ago, having the whole dashboard light up like a Christmas tree and it would run rough.  My wife or I would have to disconnect the battery EVERY SINGLE TIME before driving it and it would drive ok again.  Took it to Ken Garff Honda and were told that it was a manufacturer defect, IT HAD ORIGINALLY BEEN MADE WITH THE DEFECT.    They originally said because it was just out of warranty they could not do anything about it.  We appealed and they said their best offer was to cover half of the $2500 in repairs.  So we are stuck with $1250 in repairs for car that is only 2 years old! we spent the extra money because of how dependable Honda's are.  We are repairing, selling and buying something else.  Hope that $1250 was worth it to lose life long Honda customers.",FALSE,4,0,1,2 weeks ago,1,a month ago,"Jesse, we are so sorry to hear about this experience. We are looking into it and someone from our store will reach out to you soon. "
Linda Oldroyd Ellsworth,"Really enjoyed the buying experience from Ken Garff. The salesman wasn't too pushy, and we were in and out pretty quick, but it wasn't until after we got home we saw on the Carfax website that the car we had just purchased had been in a fender bender. I appreciate it when a dealership is upfront and honest about those things. Even though it wasn't a salvage or rebuilt title, I still would have liked to have known, because we overpaid for a car that had been in an accident. Had a much better experience this month at Velocity in American Fork buying a car for my daughter.",FALSE,6,0,3,a month ago,0,4 weeks ago,"We are sorry to hear about this experience Ms. Ellsworth. We really appreciate you taking the time to let us know about your experience. We will reevaluate our training to make sure that something like this doesn't happen again in the â¦MoreWe are sorry to hear about this experience Ms. Ellsworth. We really appreciate you taking the time to let us know about your experience. We will reevaluate our training to make sure that something like this doesn't happen again in the future. Please don't hesitate to reach out directly to our Brand Advocacy Manager, Carli Anderson, at 801.714.2284  if you need anything in the future. "
Ashley Wagstaff,Great experience! They went and got the car in the color I requested from a different location for me. They were patient with me no matter what my questions were. They made sure to show me all the things the car does that I may not have been aware of. Thank you Mitchell & Colton!,FALSE,5,0,5,a week ago,0,a week ago,Thank you for the glowing review! We really appreciate you taking the time to write this. Congratulations on your new car! 
Micah Croft,Very smooth sale. They even gave us a price lower than what was quoted! Did not feel pressured and they had us in and out quickly. The best new car buying experience I have had!,FALSE,3,0,5,3 weeks ago,0,3 weeks ago,Thank you for the glowing review! We are so glad to hear that you enjoyed working with us. Congratulations on your new car! 
